2010-12-01,0,com,8477125,1529482,6947643
2010-12-01,1,com,7980129,714185,7265944
2010-12-01,2,com,7487758,6502010,985748
2010-12-01,3,com,2485731,1035994,1449737
2010-12-01,4,com,1562279,5439148,-3876869
2010-12-01,5,com,8784933,7666654,1118279
2010-12-01,6,com,5639745,5081609,558136
2010-12-01,7,com,1441370,1303901,137469
2010-12-01,8,com,1542535,407772,1134763
2010-12-01,9,com,8877697,2811360,6066337
2010-12-01,10,com,854386,2672727,-1818341
2010-12-01,11,com,8103766,3226955,4876811
2010-12-01,12,com,109089,2681143,-2572054
2010-12-01,13,com,5201174,5688683,-487509
2010-12-01,14,com,9528967,9926942,-397975
2010-12-01,15,com,5551850,1167283,4384567
2010-12-01,16,com,1975073,2663741,-688668
2010-12-01,17,com,8732062,2141077,6590985
2010-12-01,18,com,9422350,810287,8612063
2010-12-01,19,com,7861416,7595246,266170
2010-12-01,20,com,4040487,1498966,2541521
2010-12-01,21,com,9611591,1891711,7719880
2010-12-01,22,com,2127930,3079871,-951941
2010-12-01,23,com,5050633,2224877,2825756
2010-12-01,0,vou,7810282,1479485,6330797
2010-12-01,1,vou,4923613,8134419,-3210806
2010-12-01,2,vou,9328864,7011170,2317694
2010-12-01,3,vou,9803757,3716455,6087302
2010-12-01,4,vou,8319199,6071757,2247442
2010-12-01,5,vou,6520144,4619051,1901093
2010-12-01,6,vou,5662158,5870300,-208142
2010-12-01,7,vou,4278145,6707863,-2429718
2010-12-01,8,vou,4166223,4113197,53026
2010-12-01,9,vou,4665559,2130402,2535157
2010-12-01,10,vou,7660616,4467983,3192633
2010-12-01,11,vou,6280358,1502033,4778325
2010-12-01,12,vou,7366701,7797664,-430963
2010-12-01,13,vou,3239719,2418627,821092
2010-12-01,14,vou,439565,58420,381145
2010-12-01,15,vou,8376364,1455722,6920642
2010-12-01,16,vou,1383997,8768378,-7384381
2010-12-01,17,vou,9888874,4559491,5329383
2010-12-01,18,vou,9593352,8822631,770721
2010-12-01,19,vou,7609819,9602933,-1993114
2010-12-01,20,vou,4733715,7069871,-2336156
2010-12-01,21,vou,6456221,4965322,1490899
2010-12-01,22,vou,9704149,1392182,8311967
2010-12-01,23,vou,4829765,667945,4161820
2010-12-01,0,cm,8080199,6982980,1097219
2010-12-01,1,cm,9373061,8310440,1062621
2010-12-01,2,cm,2723409,2238919,484490
2010-12-01,3,cm,6260473,4518280,1742193
2010-12-01,4,cm,2975748,10010,2965738
2010-12-01,5,cm,1943580,39137,1904443
2010-12-01,6,cm,1671621,3639356,-1967735
2010-12-01,7,cm,357649,8833126,-8475477
2010-12-01,8,cm,3870834,8113079,-4242245
2010-12-01,9,cm,3415031,8712183,-5297152
2010-12-01,10,cm,4820227,2824609,1995618
2010-12-01,11,cm,1513494,328892,1184602
2010-12-01,12,cm,2199950,8307209,-6107259
2010-12-01,13,cm,4322718,5692002,-1369284
2010-12-01,14,cm,5501026,7094103,-1593077
2010-12-01,15,cm,4760540,3222652,1537888
2010-12-01,16,cm,6774084,7882978,-1108894
2010-12-01,17,cm,6233911,8879862,-2645951
2010-12-01,18,cm,2322128,5521873,-3199745
2010-12-01,19,cm,9858816,9454408,404408
2010-12-01,20,cm,6018723,8901753,-2883030
2010-12-01,21,cm,3366499,537731,2828768
2010-12-01,22,cm,9109667,324561,8785106
2010-12-01,23,cm,5043481,3688978,1354503
2010-12-01,0,adj,4316334,5230367,-914033
2010-12-01,1,adj,3204749,2222996,981753
2010-12-01,2,adj,6409016,7935627,-1526611
2010-12-01,3,adj,3939946,8298648,-4358702
2010-12-01,4,adj,3998987,9544830,-5545843
2010-12-01,5,adj,2711203,6453416,-3742213
2010-12-01,6,adj,5379208,6872410,-1493202
2010-12-01,7,adj,5283197,796026,4487171
2010-12-01,8,adj,462882,6384286,-5921404
2010-12-01,9,adj,7808472,7653988,154484
2010-12-01,10,adj,3119988,4319312,-1199324
2010-12-01,11,adj,1081335,4300004,-3218669
2010-12-01,12,adj,8701738,5544170,3157568
2010-12-01,13,adj,6415362,6760842,-345480
2010-12-01,14,adj,9459135,9820774,-361639
2010-12-01,15,adj,4556560,3204636,1351924
2010-12-01,16,adj,1928810,8244633,-6315823
2010-12-01,17,adj,9200377,8057903,1142474
2010-12-01,18,adj,5154816,8564613,-3409797
2010-12-01,19,adj,5721138,2057611,3663527
2010-12-01,20,adj,7269074,3194281,4074793
2010-12-01,21,adj,5724884,3867810,1857074
2010-12-01,22,adj,571324,1425831,-854507
2010-12-01,23,adj,9705774,6921368,2784406
2010-12-01,0,first,7733072,3271440,4461632
2010-12-01,1,first,6297725,2254928,4042797
2010-12-01,2,first,4546829,5457530,-910701
2010-12-01,3,first,7250146,5220466,2029680
2010-12-01,4,first,4797268,3485555,1311713
2010-12-01,5,first,1921364,8602464,-6681100
2010-12-01,6,first,2680737,566583,2114154
2010-12-01,7,first,5425531,4820680,604851
2010-12-01,8,first,8728867,5047678,3681189
2010-12-01,9,first,5926797,4777878,1148919
2010-12-01,10,first,2523880,1163255,1360625
2010-12-01,11,first,3142465,3638725,-496260
2010-12-01,12,first,268989,6624064,-6355075
2010-12-01,13,first,3097953,3768884,-670931
2010-12-01,14,first,2479364,7489199,-5009835
2010-12-01,15,first,6921362,2714849,4206513
2010-12-01,16,first,1585896,7746325,-6160429
2010-12-01,17,first,2132648,1912562,220086
2010-12-01,18,first,4249898,1339788,2910110
2010-12-01,19,first,8658521,7746632,911889
2010-12-01,20,first,3936922,8420601,-4483679
2010-12-01,21,first,1202412,4113959,-2911547
2010-12-01,22,first,3317805,3461984,-144179
2010-12-01,23,first,1739380,6973612,-5234232
2010-12-01,0,mon,3121475,3992706,-871231
2010-12-01,1,mon,4627855,8155235,-3527380
2010-12-01,2,mon,6838109,3728608,3109501
2010-12-01,3,mon,6228819,8575282,-2346463
2010-12-01,4,mon,283020,6258310,-5975290
2010-12-01,5,mon,8662205,8999154,-336949
2010-12-01,6,mon,4959332,7849865,-2890533
2010-12-01,7,mon,6165873,4646079,1519794
2010-12-01,8,mon,299812,5777884,-5478072
2010-12-01,9,mon,1330876,4856815,-3525939
2010-12-01,10,mon,4641892,6515839,-1873947
2010-12-01,11,mon,7515442,3853793,3661649
2010-12-01,12,mon,5806743,3587144,2219599
2010-12-01,13,mon,9340996,2579756,6761240
2010-12-01,14,mon,6254117,4755078,1499039
2010-12-01,15,mon,5537824,5692734,-154910
2010-12-01,16,mon,7903064,7984719,-81655
2010-12-01,17,mon,7420696,6211432,1209264
2010-12-01,18,mon,8928948,51982,8876966
2010-12-01,19,mon,4340800,518783,3822017
2010-12-01,20,mon,8600632,7180213,1420419
2010-12-01,21,mon,7723310,625226,7098084
2010-12-01,22,mon,9158399,2570370,6588029
2010-12-01,23,mon,2374216,8029736,-5655520
2010-12-01,0,data,2638562,425763,2212799
